,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,fa_p,da_p,fu_p,ds_p
0,169.8,94.98,228.49,DamAgr_f_tot,2,multihaz_agr,D,2,9,999,999
1,84.39,50.64,104.58,DamAgr_d_tot,2,multihaz_agr,D,2,9,999,999
2,92.74,0.84,116.44,invest_f_a,2,multihaz_agr,D,2,9,999,999
3,28.68,23.05,34.76,invest_d_a,2,multihaz_agr,D,2,9,999,999
4,870.42,831.59,890.88,revenue_agr,2,multihaz_agr,D,2,9,999,999
5,3.8,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,2,9,999,999
6,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,2,9,999,999
7,173.11,95.82,234.1,DamAgr_f_tot,2,multihaz_agr,D,2,1,999,999
8,74.45,58.17,96.22,DamAgr_d_tot,2,multihaz_agr,D,2,1,999,999
9,92.76,0.84,116.44,invest_f_a,2,multihaz_agr,D,2,1,999,999
10,19.7,11.34,22.53,invest_d_a,2,multihaz_agr,D,2,1,999,999
11,880.18,840.63,899.68,revenue_agr,2,multihaz_agr,D,2,1,999,999
12,3.0,2.0,4.0,pathways_list_d_a,2,multihaz_agr,D,2,1,999,999
13,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,2,1,999,999
14,171.72,93.44,229.05,DamAgr_f_tot,2,multihaz_agr,D,2,6,999,999
15,53.4,38.8,62.06,DamAgr_d_tot,2,multihaz_agr,D,2,6,999,999
16,92.74,0.84,116.44,invest_f_a,2,multihaz_agr,D,2,6,999,999
17,34.64,30.34,36.28,invest_d_a,2,multihaz_agr,D,2,6,999,999
18,901.09,883.16,913.76,revenue_agr,2,multihaz_agr,D,2,6,999,999
19,3.0,3.0,3.0,pathways_list_d_a,2,multihaz_agr,D,2,6,999,999
20,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,2,6,999,999
21,172.02,93.44,229.6,DamAgr_f_tot,2,multihaz_agr,D,2,7,999,999
22,35.04,25.71,37.38,DamAgr_d_tot,2,multihaz_agr,D,2,7,999,999
23,92.74,0.84,116.44,invest_f_a,2,multihaz_agr,D,2,7,999,999
24,19.1,16.62,18.44,invest_d_a,2,multihaz_agr,D,2,7,999,999
25,919.04,904.09,929.03,revenue_agr,2,multihaz_agr,D,2,7,999,999
26,1.1,1.0,1.0,pathways_list_d_a,2,multihaz_agr,D,2,7,999,999
27,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,2,7,999,999
28,172.39,93.44,229.6,DamAgr_f_tot,2,multihaz_agr,D,2,8,999,999
29,37.5,31.95,41.01,DamAgr_d_tot,2,multihaz_agr,D,2,8,999,999
30,92.74,0.84,116.44,invest_f_a,2,multihaz_agr,D,2,8,999,999
31,17.64,16.62,18.44,invest_d_a,2,multihaz_agr,D,2,8,999,999
32,916.74,904.09,925.58,revenue_agr,2,multihaz_agr,D,2,8,999,999
33,1.1,1.0,1.0,pathways_list_d_a,2,multihaz_agr,D,2,8,999,999
34,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,2,8,999,999
35,171.79,93.44,229.05,DamAgr_f_tot,2,multihaz_agr,D,2,5,999,999
36,38.85,27.13,48.07,DamAgr_d_tot,2,multihaz_agr,D,2,5,999,999
37,92.74,0.84,116.44,invest_f_a,2,multihaz_agr,D,2,5,999,999
38,30.77,26.33,32.81,invest_d_a,2,multihaz_agr,D,2,5,999,999
39,915.42,901.69,926.0,revenue_agr,2,multihaz_agr,D,2,5,999,999
40,2.0,2.0,2.0,pathways_list_d_a,2,multihaz_agr,D,2,5,999,999
41,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,2,5,999,999
