,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,da_p,fa_p,fu_p,ds_p
0,48.28,38.34,56.96,DamAgr_d_tot,1,drought_agr,D,5,999,999,999
1,30.2,24.13,31.77,invest_d_a,1,drought_agr,D,5,999,999,999
2,921.94,911.04,930.2,revenue_agr,1,drought_agr,D,5,999,999,999
3,2.0,2.0,2.0,pathways_list_d_a,1,drought_agr,D,5,999,999,999
4,111.99,98.7,120.47,DamAgr_d_tot,1,drought_agr,D,2,999,999,999
5,24.53,20.71,26.25,invest_d_a,1,drought_agr,D,2,999,999,999
6,858.4,838.59,867.86,revenue_agr,1,drought_agr,D,2,999,999,999
7,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,D,2,999,999,999
8,67.1,54.76,91.33,DamAgr_d_tot,1,drought_agr,D,8,999,999,999
9,22.39,15.5,31.95,invest_d_a,1,drought_agr,D,8,999,999,999
10,903.19,877.68,914.33,revenue_agr,1,drought_agr,D,8,999,999,999
11,2.2,1.0,4.0,pathways_list_d_a,1,drought_agr,D,8,999,999,999
12,41.63,28.54,48.82,DamAgr_d_tot,1,drought_agr,D,10,999,999,999
13,19.73,14.68,21.18,invest_d_a,1,drought_agr,D,10,999,999,999
14,928.53,912.56,938.86,revenue_agr,1,drought_agr,D,10,999,999,999
15,2.0,2.0,2.0,pathways_list_d_a,1,drought_agr,D,10,999,999,999
16,148.53,124.9,166.48,DamAgr_d_tot,1,drought_agr,D,0,999,999,999
17,0.0,0.0,0.0,invest_d_a,1,drought_agr,D,0,999,999,999
18,821.81,792.5,845.04,revenue_agr,1,drought_agr,D,0,999,999,999
19,0.0,0.0,0.0,pathways_list_d_a,1,drought_agr,D,0,999,999,999
20,70.2,59.85,76.03,DamAgr_d_tot,1,drought_agr,D,4,999,999,999
21,23.33,17.41,23.63,invest_d_a,1,drought_agr,D,4,999,999,999
22,900.05,881.78,909.12,revenue_agr,1,drought_agr,D,4,999,999,999
23,3.1,3.0,3.0,pathways_list_d_a,1,drought_agr,D,4,999,999,999
24,104.16,93.21,116.52,DamAgr_d_tot,1,drought_agr,D,1,999,999,999
25,32.73,21.82,35.97,invest_d_a,1,drought_agr,D,1,999,999,999
26,866.24,853.6,875.17,revenue_agr,1,drought_agr,D,1,999,999,999
27,3.9,3.0,4.0,pathways_list_d_a,1,drought_agr,D,1,999,999,999
28,58.97,45.73,63.6,DamAgr_d_tot,1,drought_agr,D,6,999,999,999
29,32.9,24.06,36.13,invest_d_a,1,drought_agr,D,6,999,999,999
30,911.29,882.16,919.09,revenue_agr,1,drought_agr,D,6,999,999,999
31,3.0,3.0,3.0,pathways_list_d_a,1,drought_agr,D,6,999,999,999
32,102.4,91.54,113.14,DamAgr_d_tot,1,drought_agr,D,3,999,999,999
33,31.9,21.12,35.54,invest_d_a,1,drought_agr,D,3,999,999,999
34,867.99,856.63,877.22,revenue_agr,1,drought_agr,D,3,999,999,999
35,3.9,3.0,4.0,pathways_list_d_a,1,drought_agr,D,3,999,999,999
36,54.54,42.78,59.07,DamAgr_d_tot,1,drought_agr,D,7,999,999,999
37,22.68,16.76,30.93,invest_d_a,1,drought_agr,D,7,999,999,999
38,915.72,907.45,923.08,revenue_agr,1,drought_agr,D,7,999,999,999
39,1.7,1.0,2.0,pathways_list_d_a,1,drought_agr,D,7,999,999,999
40,97.67,88.31,105.34,DamAgr_d_tot,1,drought_agr,D,9,999,999,999
41,31.41,21.77,35.18,invest_d_a,1,drought_agr,D,9,999,999,999
42,872.71,863.11,880.14,revenue_agr,1,drought_agr,D,9,999,999,999
43,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,D,9,999,999,999
44,53.82,44.14,59.99,DamAgr_d_tot,1,drought_agr,G,5,999,999,999
45,31.67,27.61,37.43,invest_d_a,1,drought_agr,G,5,999,999,999
46,916.44,908.33,921.74,revenue_agr,1,drought_agr,G,5,999,999,999
47,2.2,2.0,3.0,pathways_list_d_a,1,drought_agr,G,5,999,999,999
48,123.38,112.78,131.44,DamAgr_d_tot,1,drought_agr,G,2,999,999,999
49,24.74,21.33,26.49,invest_d_a,1,drought_agr,G,2,999,999,999
50,847.04,827.54,857.21,revenue_agr,1,drought_agr,G,2,999,999,999
51,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,G,2,999,999,999
52,77.85,64.84,89.04,DamAgr_d_tot,1,drought_agr,G,8,999,999,999
53,24.69,15.69,33.53,invest_d_a,1,drought_agr,G,8,999,999,999
54,892.47,865.09,902.11,revenue_agr,1,drought_agr,G,8,999,999,999
55,2.9,1.0,4.0,pathways_list_d_a,1,drought_agr,G,8,999,999,999
56,44.44,31.31,51.26,DamAgr_d_tot,1,drought_agr,G,10,999,999,999
57,20.18,18.09,21.18,invest_d_a,1,drought_agr,G,10,999,999,999
58,925.7,917.39,933.32,revenue_agr,1,drought_agr,G,10,999,999,999
59,2.0,2.0,2.0,pathways_list_d_a,1,drought_agr,G,10,999,999,999
60,169.79,151.41,185.54,DamAgr_d_tot,1,drought_agr,G,0,999,999,999
61,0.0,0.0,0.0,invest_d_a,1,drought_agr,G,0,999,999,999
62,800.55,775.58,816.52,revenue_agr,1,drought_agr,G,0,999,999,999
63,0.0,0.0,0.0,pathways_list_d_a,1,drought_agr,G,0,999,999,999
64,74.79,66.74,82.05,DamAgr_d_tot,1,drought_agr,G,4,999,999,999
65,25.57,19.96,33.1,invest_d_a,1,drought_agr,G,4,999,999,999
66,895.49,886.41,903.29,revenue_agr,1,drought_agr,G,4,999,999,999
67,3.3,3.0,4.0,pathways_list_d_a,1,drought_agr,G,4,999,999,999
68,113.98,104.34,125.91,DamAgr_d_tot,1,drought_agr,G,1,999,999,999
69,34.25,29.79,36.29,invest_d_a,1,drought_agr,G,1,999,999,999
70,856.41,841.97,865.42,revenue_agr,1,drought_agr,G,1,999,999,999
71,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,G,1,999,999,999
72,61.41,51.11,66.87,DamAgr_d_tot,1,drought_agr,G,6,999,999,999
73,33.74,29.62,36.13,invest_d_a,1,drought_agr,G,6,999,999,999
74,908.85,899.31,915.53,revenue_agr,1,drought_agr,G,6,999,999,999
75,3.0,3.0,3.0,pathways_list_d_a,1,drought_agr,G,6,999,999,999
76,112.68,102.52,122.96,DamAgr_d_tot,1,drought_agr,G,3,999,999,999
77,33.75,29.37,35.86,invest_d_a,1,drought_agr,G,3,999,999,999
78,857.71,844.03,865.88,revenue_agr,1,drought_agr,G,3,999,999,999
79,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,G,3,999,999,999
80,63.1,47.3,69.49,DamAgr_d_tot,1,drought_agr,G,7,999,999,999
81,24.45,17.32,27.23,invest_d_a,1,drought_agr,G,7,999,999,999
82,907.17,897.96,913.41,revenue_agr,1,drought_agr,G,7,999,999,999
83,2.0,1.0,2.0,pathways_list_d_a,1,drought_agr,G,7,999,999,999
84,105.05,95.21,113.26,DamAgr_d_tot,1,drought_agr,G,9,999,999,999
85,32.43,27.35,35.34,invest_d_a,1,drought_agr,G,9,999,999,999
86,865.34,853.91,872.13,revenue_agr,1,drought_agr,G,9,999,999,999
87,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,G,9,999,999,999
88,240.39,229.71,250.96,DamAgr_d_tot,1,drought_agr,Wp,5,999,999,999
89,39.27,37.56,40.42,invest_d_a,1,drought_agr,Wp,5,999,999,999
90,730.05,715.29,739.5,revenue_agr,1,drought_agr,Wp,5,999,999,999
91,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,Wp,5,999,999,999
92,309.77,298.07,315.92,DamAgr_d_tot,1,drought_agr,Wp,2,999,999,999
93,26.08,24.6,27.19,invest_d_a,1,drought_agr,Wp,2,999,999,999
94,660.72,633.66,671.89,revenue_agr,1,drought_agr,Wp,2,999,999,999
95,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,Wp,2,999,999,999
96,275.49,263.97,284.78,DamAgr_d_tot,1,drought_agr,Wp,8,999,999,999
97,38.2,35.91,39.66,invest_d_a,1,drought_agr,Wp,8,999,999,999
98,694.96,684.98,701.51,revenue_agr,1,drought_agr,Wp,8,999,999,999
99,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,Wp,8,999,999,999
100,173.88,160.84,183.65,DamAgr_d_tot,1,drought_agr,Wp,10,999,999,999
101,35.42,34.48,36.64,invest_d_a,1,drought_agr,Wp,10,999,999,999
102,796.46,784.17,804.56,revenue_agr,1,drought_agr,Wp,10,999,999,999
103,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,Wp,10,999,999,999
104,513.38,494.58,521.91,DamAgr_d_tot,1,drought_agr,Wp,0,999,999,999
105,0.0,0.0,0.0,invest_d_a,1,drought_agr,Wp,0,999,999,999
106,457.09,423.4,475.74,revenue_agr,1,drought_agr,Wp,0,999,999,999
107,0.0,0.0,0.0,pathways_list_d_a,1,drought_agr,Wp,0,999,999,999
108,162.6,143.22,174.36,DamAgr_d_tot,1,drought_agr,Wp,4,999,999,999
109,37.08,35.04,38.59,invest_d_a,1,drought_agr,Wp,4,999,999,999
110,807.76,786.68,817.2,revenue_agr,1,drought_agr,Wp,4,999,999,999
111,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,Wp,4,999,999,999
112,293.24,280.31,306.42,DamAgr_d_tot,1,drought_agr,Wp,1,999,999,999
113,37.03,35.0,38.55,invest_d_a,1,drought_agr,Wp,1,999,999,999
114,677.21,663.03,686.46,revenue_agr,1,drought_agr,Wp,1,999,999,999
115,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,Wp,1,999,999,999
116,173.01,151.88,184.3,DamAgr_d_tot,1,drought_agr,Wp,6,999,999,999
117,38.3,36.28,39.51,invest_d_a,1,drought_agr,Wp,6,999,999,999
118,797.41,784.98,818.34,revenue_agr,1,drought_agr,Wp,6,999,999,999
119,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,Wp,6,999,999,999
120,289.89,276.15,304.06,DamAgr_d_tot,1,drought_agr,Wp,3,999,999,999
121,36.6,34.57,38.12,invest_d_a,1,drought_agr,Wp,3,999,999,999
122,680.55,662.67,687.93,revenue_agr,1,drought_agr,Wp,3,999,999,999
123,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,Wp,3,999,999,999
124,214.55,206.36,222.63,DamAgr_d_tot,1,drought_agr,Wp,7,999,999,999
125,35.22,33.12,36.75,invest_d_a,1,drought_agr,Wp,7,999,999,999
126,755.89,747.1,763.1,revenue_agr,1,drought_agr,Wp,7,999,999,999
127,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,Wp,7,999,999,999
128,245.8,234.74,259.81,DamAgr_d_tot,1,drought_agr,Wp,9,999,999,999
129,35.18,32.88,36.9,invest_d_a,1,drought_agr,Wp,9,999,999,999
130,724.65,707.73,734.42,revenue_agr,1,drought_agr,Wp,9,999,999,999
131,4.0,4.0,4.0,pathways_list_d_a,1,drought_agr,Wp,9,999,999,999
