,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,ds_p,fa_p,da_p,fu_p
0,2166.27,1729.15,2757.94,DamShp_tot,1,drought_shp,D,7,999,999,999
1,2696.26,2486.56,2746.36,invest_d_s,1,drought_shp,D,7,999,999,999
2,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,D,7,999,999,999
3,7556.52,6946.46,8018.04,DamShp_tot,1,drought_shp,D,6,999,999,999
4,253.12,211.68,268.66,invest_d_s,1,drought_shp,D,6,999,999,999
5,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,D,6,999,999,999
6,2166.27,1729.15,2757.94,DamShp_tot,1,drought_shp,D,8,999,999,999
7,2696.26,2486.56,2746.36,invest_d_s,1,drought_shp,D,8,999,999,999
8,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,D,8,999,999,999
9,9004.04,8454.55,9364.0,DamShp_tot,1,drought_shp,D,0,999,999,999
10,0.0,0.0,0.0,invest_d_s,1,drought_shp,D,0,999,999,999
11,0.0,0.0,0.0,pathways_list_d_s,1,drought_shp,D,0,999,999,999
12,7556.52,6946.46,8018.04,DamShp_tot,1,drought_shp,D,4,999,999,999
13,253.12,211.68,268.66,invest_d_s,1,drought_shp,D,4,999,999,999
14,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,D,4,999,999,999
15,7691.2,7134.8,7967.87,DamShp_tot,1,drought_shp,D,2,999,999,999
16,158.36,26.2,252.16,invest_d_s,1,drought_shp,D,2,999,999,999
17,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,D,2,999,999,999
18,5144.8,3083.07,7615.41,DamShp_tot,1,drought_shp,D,5,999,999,999
19,1561.38,211.68,2473.73,invest_d_s,1,drought_shp,D,5,999,999,999
20,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,D,5,999,999,999
21,7691.2,7134.8,7967.87,DamShp_tot,1,drought_shp,D,3,999,999,999
22,158.36,26.2,252.16,invest_d_s,1,drought_shp,D,3,999,999,999
23,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,D,3,999,999,999
24,2166.27,1729.15,2757.94,DamShp_tot,1,drought_shp,D,9,999,999,999
25,2696.26,2486.56,2746.36,invest_d_s,1,drought_shp,D,9,999,999,999
26,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,D,9,999,999,999
27,4695.4,2331.62,7668.89,DamShp_tot,1,drought_shp,D,1,999,999,999
28,1534.52,26.2,2591.19,invest_d_s,1,drought_shp,D,1,999,999,999
29,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,D,1,999,999,999
30,1991.59,1576.08,2573.64,DamShp_tot,1,drought_shp,G,7,999,999,999
31,2696.26,2486.56,2746.36,invest_d_s,1,drought_shp,G,7,999,999,999
32,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,G,7,999,999,999
33,7174.5,6642.58,7442.23,DamShp_tot,1,drought_shp,G,6,999,999,999
34,247.73,211.68,265.36,invest_d_s,1,drought_shp,G,6,999,999,999
35,1.4,1.0,2.0,pathways_list_d_s,1,drought_shp,G,6,999,999,999
36,1991.59,1576.08,2573.64,DamShp_tot,1,drought_shp,G,8,999,999,999
37,2696.26,2486.56,2746.36,invest_d_s,1,drought_shp,G,8,999,999,999
38,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,G,8,999,999,999
39,8359.48,7818.06,8716.77,DamShp_tot,1,drought_shp,G,0,999,999,999
40,0.0,0.0,0.0,invest_d_s,1,drought_shp,G,0,999,999,999
41,0.0,0.0,0.0,pathways_list_d_s,1,drought_shp,G,0,999,999,999
42,7174.5,6642.58,7442.23,DamShp_tot,1,drought_shp,G,4,999,999,999
43,247.73,211.68,265.36,invest_d_s,1,drought_shp,G,4,999,999,999
44,1.4,1.0,2.0,pathways_list_d_s,1,drought_shp,G,4,999,999,999
45,7144.53,6600.74,7427.03,DamShp_tot,1,drought_shp,G,2,999,999,999
46,158.11,26.2,252.16,invest_d_s,1,drought_shp,G,2,999,999,999
47,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,G,2,999,999,999
48,5888.89,2945.31,7442.23,DamShp_tot,1,drought_shp,G,5,999,999,999
49,1054.78,211.68,2455.18,invest_d_s,1,drought_shp,G,5,999,999,999
50,1.4,1.0,2.0,pathways_list_d_s,1,drought_shp,G,5,999,999,999
51,7144.53,6600.74,7427.03,DamShp_tot,1,drought_shp,G,3,999,999,999
52,158.11,26.2,252.16,invest_d_s,1,drought_shp,G,3,999,999,999
53,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,G,3,999,999,999
54,1991.59,1576.08,2573.64,DamShp_tot,1,drought_shp,G,9,999,999,999
55,2696.26,2486.56,2746.36,invest_d_s,1,drought_shp,G,9,999,999,999
56,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,G,9,999,999,999
57,4392.94,2195.63,7131.75,DamShp_tot,1,drought_shp,G,1,999,999,999
58,1532.66,26.2,2591.19,invest_d_s,1,drought_shp,G,1,999,999,999
59,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,G,1,999,999,999
60,4088.13,3640.38,4598.21,DamShp_tot,1,drought_shp,Wp,7,999,999,999
61,2705.53,2542.23,2746.36,invest_d_s,1,drought_shp,Wp,7,999,999,999
62,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,Wp,7,999,999,999
63,3539.31,2874.4,3870.19,DamShp_tot,1,drought_shp,Wp,6,999,999,999
64,2952.51,2651.92,3078.18,invest_d_s,1,drought_shp,Wp,6,999,999,999
65,3.0,3.0,3.0,pathways_list_d_s,1,drought_shp,Wp,6,999,999,999
66,4088.13,3640.38,4598.21,DamShp_tot,1,drought_shp,Wp,8,999,999,999
67,2705.53,2542.23,2746.36,invest_d_s,1,drought_shp,Wp,8,999,999,999
68,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,Wp,8,999,999,999
69,13818.86,13053.56,14520.37,DamShp_tot,1,drought_shp,Wp,0,999,999,999
70,0.0,0.0,0.0,invest_d_s,1,drought_shp,Wp,0,999,999,999
71,0.0,0.0,0.0,pathways_list_d_s,1,drought_shp,Wp,0,999,999,999
72,5676.76,5097.08,5813.57,DamShp_tot,1,drought_shp,Wp,4,999,999,999
73,2271.28,2041.21,2366.74,invest_d_s,1,drought_shp,Wp,4,999,999,999
74,3.0,3.0,3.0,pathways_list_d_s,1,drought_shp,Wp,4,999,999,999
75,6066.01,5469.91,6723.12,DamShp_tot,1,drought_shp,Wp,2,999,999,999
76,2270.44,1974.01,2460.38,invest_d_s,1,drought_shp,Wp,2,999,999,999
77,3.0,3.0,3.0,pathways_list_d_s,1,drought_shp,Wp,2,999,999,999
78,5177.96,4731.71,5486.97,DamShp_tot,1,drought_shp,Wp,5,999,999,999
79,2471.9,2343.84,2529.4,invest_d_s,1,drought_shp,Wp,5,999,999,999
80,2.0,2.0,2.0,pathways_list_d_s,1,drought_shp,Wp,5,999,999,999
81,3890.1,3090.87,4937.78,DamShp_tot,1,drought_shp,Wp,3,999,999,999
82,2962.37,2584.72,3209.6,invest_d_s,1,drought_shp,Wp,3,999,999,999
83,3.0,3.0,3.0,pathways_list_d_s,1,drought_shp,Wp,3,999,999,999
84,4088.13,3640.38,4598.21,DamShp_tot,1,drought_shp,Wp,9,999,999,999
85,2705.53,2542.23,2746.36,invest_d_s,1,drought_shp,Wp,9,999,999,999
86,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,Wp,9,999,999,999
87,4699.75,3936.4,5459.63,DamShp_tot,1,drought_shp,Wp,1,999,999,999
88,2440.22,2015.94,2591.19,invest_d_s,1,drought_shp,Wp,1,999,999,999
89,2.0,2.0,2.0,pathways_list_d_s,1,drought_shp,Wp,1,999,999,999
