,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,fa_p,da_p,fu_p,ds_p
0,171.98,93.44,226.53,DamAgr_f_tot,1,flood_agr,D,2,999,999,999
1,92.74,0.84,116.44,invest_f_a,1,flood_agr,D,2,999,999,999
2,967.15,962.57,970.0,revenue_agr,1,flood_agr,D,2,999,999,999
3,1.8,1.0,2.0,pathways_list_f_a,1,flood_agr,D,2,999,999,999
4,186.34,105.41,237.77,DamAgr_f_tot,1,flood_agr,D,1,999,999,999
5,15.0,0.84,5.71,invest_f_a,1,flood_agr,D,1,999,999,999
6,934.54,893.43,967.19,revenue_agr,1,flood_agr,D,1,999,999,999
7,1.9,1.0,2.0,pathways_list_f_a,1,flood_agr,D,1,999,999,999
8,108.72,62.8,145.63,DamAgr_f_tot,1,flood_agr,D,5,999,999,999
9,197.2,112.0,254.0,invest_f_a,1,flood_agr,D,5,999,999,999
10,967.76,962.44,970.0,revenue_agr,1,flood_agr,D,5,999,999,999
11,1.6,1.0,2.0,pathways_list_f_a,1,flood_agr,D,5,999,999,999
12,180.6,101.45,229.48,DamAgr_f_tot,1,flood_agr,D,3,999,999,999
13,13.72,0.37,4.04,invest_f_a,1,flood_agr,D,3,999,999,999
14,905.86,875.75,947.27,revenue_agr,1,flood_agr,D,3,999,999,999
15,1.8,1.0,2.0,pathways_list_f_a,1,flood_agr,D,3,999,999,999
16,97.4,31.57,160.37,DamAgr_f_tot,1,flood_agr,D,7,999,999,999
17,142.72,142.0,144.27,invest_f_a,1,flood_agr,D,7,999,999,999
18,968.08,962.44,970.0,revenue_agr,1,flood_agr,D,7,999,999,999
19,1.3,1.0,2.0,pathways_list_f_a,1,flood_agr,D,7,999,999,999
20,195.03,111.13,248.93,DamAgr_f_tot,1,flood_agr,D,0,999,999,999
21,0.0,0.0,0.0,invest_f_a,1,flood_agr,D,0,999,999,999
22,966.77,961.68,970.0,revenue_agr,1,flood_agr,D,0,999,999,999
23,0.0,0.0,0.0,pathways_list_f_a,1,flood_agr,D,0,999,999,999
24,112.18,62.8,160.37,DamAgr_f_tot,1,flood_agr,D,6,999,999,999
25,113.5,112.0,114.8,invest_f_a,1,flood_agr,D,6,999,999,999
26,967.76,962.44,970.0,revenue_agr,1,flood_agr,D,6,999,999,999
27,1.6,1.0,2.0,pathways_list_f_a,1,flood_agr,D,6,999,999,999
28,167.54,89.5,216.44,DamAgr_f_tot,1,flood_agr,D,4,999,999,999
29,79.64,0.37,113.73,invest_f_a,1,flood_agr,D,4,999,999,999
30,906.14,875.74,947.27,revenue_agr,1,flood_agr,D,4,999,999,999
31,1.7,1.0,2.0,pathways_list_f_a,1,flood_agr,D,4,999,999,999
32,97.21,31.57,158.46,DamAgr_f_tot,1,flood_agr,D,8,999,999,999
33,142.29,142.0,142.91,invest_f_a,1,flood_agr,D,8,999,999,999
34,954.04,916.47,970.0,revenue_agr,1,flood_agr,D,8,999,999,999
35,1.3,1.0,2.0,pathways_list_f_a,1,flood_agr,D,8,999,999,999
36,217.09,144.28,253.75,DamAgr_f_tot,1,flood_agr,G,2,999,999,999
37,115.58,112.84,117.57,invest_f_a,1,flood_agr,G,2,999,999,999
38,950.73,892.73,970.0,revenue_agr,1,flood_agr,G,2,999,999,999
39,2.4,2.0,3.0,pathways_list_f_a,1,flood_agr,G,2,999,999,999
40,259.15,172.8,338.71,DamAgr_f_tot,1,flood_agr,G,1,999,999,999
41,63.17,1.01,117.97,invest_f_a,1,flood_agr,G,1,999,999,999
42,921.49,880.61,954.3,revenue_agr,1,flood_agr,G,1,999,999,999
43,2.5,2.0,3.0,pathways_list_f_a,1,flood_agr,G,1,999,999,999
44,156.35,77.01,198.41,DamAgr_f_tot,1,flood_agr,G,5,999,999,999
45,240.02,112.0,254.0,invest_f_a,1,flood_agr,G,5,999,999,999
46,967.54,960.76,970.0,revenue_agr,1,flood_agr,G,5,999,999,999
47,2.0,1.0,2.0,pathways_list_f_a,1,flood_agr,G,5,999,999,999
48,255.66,168.08,330.6,DamAgr_f_tot,1,flood_agr,G,3,999,999,999
49,48.17,0.69,116.54,invest_f_a,1,flood_agr,G,3,999,999,999
50,903.14,866.72,944.2,revenue_agr,1,flood_agr,G,3,999,999,999
51,2.4,2.0,3.0,pathways_list_f_a,1,flood_agr,G,3,999,999,999
52,114.98,30.46,179.3,DamAgr_f_tot,1,flood_agr,G,7,999,999,999
53,142.72,142.0,144.27,invest_f_a,1,flood_agr,G,7,999,999,999
54,967.92,960.76,970.0,revenue_agr,1,flood_agr,G,7,999,999,999
55,1.3,1.0,2.0,pathways_list_f_a,1,flood_agr,G,7,999,999,999
56,308.47,188.45,375.96,DamAgr_f_tot,1,flood_agr,G,0,999,999,999
57,0.0,0.0,0.0,invest_f_a,1,flood_agr,G,0,999,999,999
58,966.0,959.93,970.0,revenue_agr,1,flood_agr,G,0,999,999,999
59,0.0,0.0,0.0,pathways_list_f_a,1,flood_agr,G,0,999,999,999
60,168.23,77.01,229.34,DamAgr_f_tot,1,flood_agr,G,6,999,999,999
61,113.89,112.0,115.64,invest_f_a,1,flood_agr,G,6,999,999,999
62,962.65,921.24,970.0,revenue_agr,1,flood_agr,G,6,999,999,999
63,2.1,1.0,3.0,pathways_list_f_a,1,flood_agr,G,6,999,999,999
64,222.71,138.13,326.67,DamAgr_f_tot,1,flood_agr,G,4,999,999,999
65,113.67,112.37,115.47,invest_f_a,1,flood_agr,G,4,999,999,999
66,903.37,866.71,944.2,revenue_agr,1,flood_agr,G,4,999,999,999
67,2.2,2.0,3.0,pathways_list_f_a,1,flood_agr,G,4,999,999,999
68,114.78,30.46,177.29,DamAgr_f_tot,1,flood_agr,G,8,999,999,999
69,142.29,142.0,142.91,invest_f_a,1,flood_agr,G,8,999,999,999
70,953.88,916.32,970.0,revenue_agr,1,flood_agr,G,8,999,999,999
71,1.3,1.0,2.0,pathways_list_f_a,1,flood_agr,G,8,999,999,999
72,294.1,197.73,353.55,DamAgr_f_tot,1,flood_agr,Wp,2,999,999,999
73,201.55,115.07,259.35,invest_f_a,1,flood_agr,Wp,2,999,999,999
74,932.88,892.62,952.83,revenue_agr,1,flood_agr,Wp,2,999,999,999
75,3.5,2.0,4.0,pathways_list_f_a,1,flood_agr,Wp,2,999,999,999
76,333.67,216.86,426.64,DamAgr_f_tot,1,flood_agr,Wp,1,999,999,999
77,216.18,115.27,259.97,invest_f_a,1,flood_agr,Wp,1,999,999,999
78,911.4,880.5,937.68,revenue_agr,1,flood_agr,Wp,1,999,999,999
79,3.7,3.0,4.0,pathways_list_f_a,1,flood_agr,Wp,1,999,999,999
80,169.64,60.84,231.31,DamAgr_f_tot,1,flood_agr,Wp,5,999,999,999
81,254.58,254.0,255.37,invest_f_a,1,flood_agr,Wp,5,999,999,999
82,967.06,960.56,970.0,revenue_agr,1,flood_agr,Wp,5,999,999,999
83,2.5,2.0,3.0,pathways_list_f_a,1,flood_agr,Wp,5,999,999,999
84,356.94,210.47,430.97,DamAgr_f_tot,1,flood_agr,Wp,3,999,999,999
85,187.14,113.77,259.64,invest_f_a,1,flood_agr,Wp,3,999,999,999
86,895.01,866.62,918.32,revenue_agr,1,flood_agr,Wp,3,999,999,999
87,3.5,3.0,4.0,pathways_list_f_a,1,flood_agr,Wp,3,999,999,999
88,170.7,63.84,212.54,DamAgr_f_tot,1,flood_agr,Wp,7,999,999,999
89,188.61,142.0,256.16,invest_f_a,1,flood_agr,Wp,7,999,999,999
90,967.26,960.56,970.0,revenue_agr,1,flood_agr,Wp,7,999,999,999
91,2.3,1.0,3.0,pathways_list_f_a,1,flood_agr,Wp,7,999,999,999
92,570.68,429.18,759.88,DamAgr_f_tot,1,flood_agr,Wp,0,999,999,999
93,0.0,0.0,0.0,invest_f_a,1,flood_agr,Wp,0,999,999,999
94,964.05,953.84,970.0,revenue_agr,1,flood_agr,Wp,0,999,999,999
95,0.0,0.0,0.0,pathways_list_f_a,1,flood_agr,Wp,0,999,999,999
96,253.05,136.05,299.47,DamAgr_f_tot,1,flood_agr,Wp,6,999,999,999
97,186.02,113.45,257.24,invest_f_a,1,flood_agr,Wp,6,999,999,999
98,939.35,896.23,952.83,revenue_agr,1,flood_agr,Wp,6,999,999,999
99,3.4,2.0,4.0,pathways_list_f_a,1,flood_agr,Wp,6,999,999,999
100,294.3,187.61,341.55,DamAgr_f_tot,1,flood_agr,Wp,4,999,999,999
101,171.7,113.25,257.99,invest_f_a,1,flood_agr,Wp,4,999,999,999
102,894.7,866.61,918.31,revenue_agr,1,flood_agr,Wp,4,999,999,999
103,3.3,2.0,4.0,pathways_list_f_a,1,flood_agr,Wp,4,999,999,999
104,171.29,63.84,210.67,DamAgr_f_tot,1,flood_agr,Wp,8,999,999,999
105,187.53,142.0,254.87,invest_f_a,1,flood_agr,Wp,8,999,999,999
106,931.63,896.23,952.83,revenue_agr,1,flood_agr,Wp,8,999,999,999
107,2.3,1.0,3.0,pathways_list_f_a,1,flood_agr,Wp,8,999,999,999
