,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,fu_p,fa_p,da_p,ds_p
0,1385.28,349.0,1907.68,DamUrb_tot,1,flood_urb,D,6,999,999,999
1,196.29,112.0,300.32,invest_f_u,1,flood_urb,D,6,999,999,999
2,2.2,1.0,3.0,pathways_list_f_u,1,flood_urb,D,6,999,999,999
3,904.13,245.0,1524.09,DamUrb_tot,1,flood_urb,D,9,999,999,999
4,191.43,142.0,254.0,invest_f_u,1,flood_urb,D,9,999,999,999
5,1.5,1.0,2.0,pathways_list_f_u,1,flood_urb,D,9,999,999,999
6,1286.54,349.0,1907.68,DamUrb_tot,1,flood_urb,D,5,999,999,999
7,244.43,112.0,254.0,invest_f_u,1,flood_urb,D,5,999,999,999
8,2.0,1.0,2.0,pathways_list_f_u,1,flood_urb,D,5,999,999,999
9,3658.38,2223.1,4547.42,DamUrb_tot,1,flood_urb,D,0,999,999,999
10,0.0,0.0,0.0,invest_f_u,1,flood_urb,D,0,999,999,999
11,0.0,0.0,0.0,pathways_list_f_u,1,flood_urb,D,0,999,999,999
12,1214.01,730.78,1326.22,DamUrb_tot,1,flood_urb,D,8,999,999,999
13,357.27,286.96,425.39,invest_f_u,1,flood_urb,D,8,999,999,999
14,2.5,2.0,3.0,pathways_list_f_u,1,flood_urb,D,8,999,999,999
15,2509.53,1615.22,3393.04,DamUrb_tot,1,flood_urb,D,1,999,999,999
16,233.36,188.75,357.68,invest_f_u,1,flood_urb,D,1,999,999,999
17,3.2,3.0,4.0,pathways_list_f_u,1,flood_urb,D,1,999,999,999
18,2429.12,1585.96,3262.95,DamUrb_tot,1,flood_urb,D,3,999,999,999
19,225.08,181.27,352.2,invest_f_u,1,flood_urb,D,3,999,999,999
20,3.2,3.0,4.0,pathways_list_f_u,1,flood_urb,D,3,999,999,999
21,903.81,245.0,1524.09,DamUrb_tot,1,flood_urb,D,10,999,999,999
22,166.62,142.0,177.92,invest_f_u,1,flood_urb,D,10,999,999,999
23,1.5,1.0,2.0,pathways_list_f_u,1,flood_urb,D,10,999,999,999
24,2678.27,2025.52,3232.31,DamUrb_tot,1,flood_urb,D,2,999,999,999
25,384.36,345.75,484.68,invest_f_u,1,flood_urb,D,2,999,999,999
26,3.2,3.0,4.0,pathways_list_f_u,1,flood_urb,D,2,999,999,999
27,2578.1,1892.15,3268.38,DamUrb_tot,1,flood_urb,D,4,999,999,999
28,376.08,338.27,477.7,invest_f_u,1,flood_urb,D,4,999,999,999
29,3.2,3.0,4.0,pathways_list_f_u,1,flood_urb,D,4,999,999,999
30,991.58,516.55,1094.39,DamUrb_tot,1,flood_urb,D,7,999,999,999
31,382.8,381.0,381.0,invest_f_u,1,flood_urb,D,7,999,999,999
32,2.1,2.0,2.0,pathways_list_f_u,1,flood_urb,D,7,999,999,999
33,2009.64,638.31,2683.3,DamUrb_tot,1,flood_urb,G,6,999,999,999
34,259.52,158.32,300.32,invest_f_u,1,flood_urb,G,6,999,999,999
35,2.8,2.0,3.0,pathways_list_f_u,1,flood_urb,G,6,999,999,999
36,1151.88,349.0,1665.97,DamUrb_tot,1,flood_urb,G,9,999,999,999
37,204.43,142.0,254.0,invest_f_u,1,flood_urb,G,9,999,999,999
38,1.7,1.0,2.0,pathways_list_f_u,1,flood_urb,G,9,999,999,999
39,1725.14,638.31,2360.97,DamUrb_tot,1,flood_urb,G,5,999,999,999
40,269.69,254.0,300.32,invest_f_u,1,flood_urb,G,5,999,999,999
41,2.4,2.0,3.0,pathways_list_f_u,1,flood_urb,G,5,999,999,999
42,5539.42,3999.54,6469.48,DamUrb_tot,1,flood_urb,G,0,999,999,999
43,0.0,0.0,0.0,invest_f_u,1,flood_urb,G,0,999,999,999
44,0.0,0.0,0.0,pathways_list_f_u,1,flood_urb,G,0,999,999,999
