,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,fu_p,fa_p,da_p,ds_p
0,652.63,245.0,780.42,DamUrb_tot,2,multihaz_urb,D,14,999,999,999
1,159.57,142.0,142.0,invest_f_u,2,multihaz_urb,D,14,999,999,999
2,1.1,1.0,1.0,pathways_list_f_u,2,multihaz_urb,D,14,999,999,999
3,771.2,245.0,1194.01,DamUrb_tot,2,multihaz_urb,D,6,999,999,999
4,140.1,112.0,158.32,invest_f_u,2,multihaz_urb,D,6,999,999,999
5,1.4,1.0,2.0,pathways_list_f_u,2,multihaz_urb,D,6,999,999,999
6,652.63,245.0,780.42,DamUrb_tot,2,multihaz_urb,D,9,999,999,999
7,153.2,142.0,142.0,invest_f_u,2,multihaz_urb,D,9,999,999,999
8,1.1,1.0,1.0,pathways_list_f_u,2,multihaz_urb,D,9,999,999,999
9,738.99,245.0,871.88,DamUrb_tot,2,multihaz_urb,D,5,999,999,999
10,154.6,112.0,254.0,invest_f_u,2,multihaz_urb,D,5,999,999,999
11,1.3,1.0,2.0,pathways_list_f_u,2,multihaz_urb,D,5,999,999,999
12,3922.26,2223.1,4800.99,DamUrb_tot,2,multihaz_urb,D,0,999,999,999
13,0.0,0.0,0.0,invest_f_u,2,multihaz_urb,D,0,999,999,999
14,0.0,0.0,0.0,pathways_list_f_u,2,multihaz_urb,D,0,999,999,999
15,1279.07,739.85,1561.2,DamUrb_tot,2,multihaz_urb,D,8,999,999,999
16,383.36,284.97,425.39,invest_f_u,2,multihaz_urb,D,8,999,999,999
17,2.7,2.0,3.0,pathways_list_f_u,2,multihaz_urb,D,8,999,999,999
18,2317.05,1557.66,3050.78,DamUrb_tot,2,multihaz_urb,D,1,999,999,999
19,235.1,188.75,343.72,invest_f_u,2,multihaz_urb,D,1,999,999,999
20,3.2,3.0,4.0,pathways_list_f_u,2,multihaz_urb,D,1,999,999,999
21,2267.36,1549.57,2968.13,DamUrb_tot,2,multihaz_urb,D,3,999,999,999
22,228.07,181.27,337.23,invest_f_u,2,multihaz_urb,D,3,999,999,999
23,3.2,3.0,4.0,pathways_list_f_u,2,multihaz_urb,D,3,999,999,999
24,1608.29,760.76,2393.84,DamUrb_tot,2,multihaz_urb,D,12,999,999,999
25,400.12,250.76,480.12,invest_f_u,2,multihaz_urb,D,12,999,999,999
26,2.2,2.0,3.0,pathways_list_f_u,2,multihaz_urb,D,12,999,999,999
