Unnamed: 0,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,portfolio
0,169.8,94.98,228.49,DamAgr_f_tot,2,multihaz_agr,D,02_09_00_00
1,163.81,97.71,229.48,DamAgr_f_tot,2,multihaz_agr,D,10_01_00_00
2,85.99,31.57,118.7,DamAgr_f_tot,2,multihaz_agr,D,05_06_00_00
3,195.19,108.16,246.53,DamAgr_f_tot,2,multihaz_agr,D,11_07_00_00
4,196.38,108.28,246.75,DamAgr_f_tot,2,multihaz_agr,D,09_08_00_00
5,172.39,93.44,229.6,DamAgr_f_tot,2,multihaz_agr,D,02_08_00_00
6,184.51,101.48,231.7,DamAgr_f_tot,2,multihaz_agr,D,03_07_00_00
7,171.79,93.44,229.05,DamAgr_f_tot,2,multihaz_agr,D,02_05_00_00
8,169.01,92.12,220.88,DamAgr_f_tot,2,multihaz_agr,D,04_02_00_00
9,171.0,92.99,228.57,DamAgr_f_tot,2,multihaz_agr,D,02_00_00_00
10,193.4,108.3,245.79,DamAgr_f_tot,2,multihaz_agr,D,09_04_00_00
11,171.85,95.15,233.81,DamAgr_f_tot,2,multihaz_agr,D,10_05_00_00
12,192.91,108.16,245.67,DamAgr_f_tot,2,multihaz_agr,D,11_04_00_00
13,189.44,104.96,239.77,DamAgr_f_tot,2,multihaz_agr,D,01_00_00_00
14,78.5,32.41,115.61,DamAgr_f_tot,2,multihaz_agr,D,07_01_00_00
15,168.95,95.15,230.41,DamAgr_f_tot,2,multihaz_agr,D,10_10_00_00
16,199.44,111.13,251.81,DamAgr_f_tot,2,multihaz_agr,D,00_05_00_00
17,85.87,31.57,118.18,DamAgr_f_tot,2,multihaz_agr,D,05_00_00_00
18,183.5,101.09,230.86,DamAgr_f_tot,2,multihaz_agr,D,03_00_00_00
19,173.11,95.82,234.1,DamAgr_f_tot,2,multihaz_agr,D,02_01_00_00
20,196.06,111.2,246.66,DamAgr_f_tot,2,multihaz_agr,D,09_09_00_00
21,82.74,31.57,118.7,DamAgr_f_tot,2,multihaz_agr,D,08_06_00_00
22,181.57,101.39,229.04,DamAgr_f_tot,2,multihaz_agr,D,03_10_00_00
23,82.75,31.57,118.7,DamAgr_f_tot,2,multihaz_agr,D,07_05_00_00
24,172.08,92.05,223.64,DamAgr_f_tot,2,multihaz_agr,D,04_01_00_00
25,191.89,108.16,242.93,DamAgr_f_tot,2,multihaz_agr,D,11_10_00_00
26,81.82,32.41,115.61,DamAgr_f_tot,2,multihaz_agr,D,05_01_00_00
27,159.94,96.87,222.09,DamAgr_f_tot,2,multihaz_agr,D,10_09_00_00
28,194.0,107.71,245.49,DamAgr_f_tot,2,multihaz_agr,D,11_00_00_00
29,195.33,108.86,246.3,DamAgr_f_tot,2,multihaz_agr,D,01_01_00_00
30,201.83,114.94,254.46,DamAgr_f_tot,2,multihaz_agr,D,00_02_00_00
31,185.18,101.49,231.87,DamAgr_f_tot,2,multihaz_agr,D,03_08_00_00
32,82.74,31.57,118.7,DamAgr_f_tot,2,multihaz_agr,D,07_06_00_00
33,85.48,31.57,118.82,DamAgr_f_tot,2,multihaz_agr,D,05_10_00_00
34,172.02,93.44,229.6,DamAgr_f_tot,2,multihaz_agr,D,02_07_00_00
35,191.18,105.39,240.81,DamAgr_f_tot,2,multihaz_agr,D,01_08_00_00
36,195.78,108.16,246.53,DamAgr_f_tot,2,multihaz_agr,D,11_08_00_00
37,169.1,93.44,226.0,DamAgr_f_tot,2,multihaz_agr,D,02_10_00_00
38,192.29,108.25,242.78,DamAgr_f_tot,2,multihaz_agr,D,09_10_00_00
39,196.86,111.66,248.42,DamAgr_f_tot,2,multihaz_agr,D,11_02_00_00
40,172.45,95.15,234.36,DamAgr_f_tot,2,multihaz_agr,D,10_08_00_00
41,200.28,111.13,252.36,DamAgr_f_tot,2,multihaz_agr,D,00_08_00_00
42,196.1,111.13,248.41,DamAgr_f_tot,2,multihaz_agr,D,00_10_00_00
43,89.12,31.57,126.38,DamAgr_f_tot,2,multihaz_agr,D,06_08_00_00
44,82.62,31.57,118.18,DamAgr_f_tot,2,multihaz_agr,D,07_00_00_00
45,83.94,32.41,128.39,DamAgr_f_tot,2,multihaz_agr,D,06_02_00_00
46,190.61,105.41,240.81,DamAgr_f_tot,2,multihaz_agr,D,01_07_00_00
47,198.53,110.72,251.32,DamAgr_f_tot,2,multihaz_agr,D,00_00_00_00
48,197.22,111.13,251.5,DamAgr_f_tot,2,multihaz_agr,D,00_04_00_00
49,184.33,101.41,231.39,DamAgr_f_tot,2,multihaz_agr,D,03_05_00_00
50,83.25,31.57,119.66,DamAgr_f_tot,2,multihaz_agr,D,08_08_00_00
51,82.89,31.57,119.66,DamAgr_f_tot,2,multihaz_agr,D,07_07_00_00
52,191.98,108.86,242.77,DamAgr_f_tot,2,multihaz_agr,D,01_02_00_00
53,171.87,92.03,220.91,DamAgr_f_tot,2,multihaz_agr,D,04_03_00_00
54,195.78,108.27,246.75,DamAgr_f_tot,2,multihaz_agr,D,09_07_00_00
55,86.96,31.57,118.82,DamAgr_f_tot,2,multihaz_agr,D,05_09_00_00
56,77.91,32.41,115.61,DamAgr_f_tot,2,multihaz_agr,D,08_02_00_00
57,171.1,94.74,233.33,DamAgr_f_tot,2,multihaz_agr,D,10_00_00_00
58,205.54,114.94,258.44,DamAgr_f_tot,2,multihaz_agr,D,00_01_00_00
59,164.86,89.53,215.94,DamAgr_f_tot,2,multihaz_agr,D,04_10_00_00
60,189.6,104.97,237.69,DamAgr_f_tot,2,multihaz_agr,D,03_01_00_00
61,199.4,111.13,251.81,DamAgr_f_tot,2,multihaz_agr,D,00_06_00_00
62,204.81,114.94,255.71,DamAgr_f_tot,2,multihaz_agr,D,00_03_00_00
63,78.5,32.41,115.61,DamAgr_f_tot,2,multihaz_agr,D,08_01_00_00
64,191.68,108.02,240.75,DamAgr_f_tot,2,multihaz_agr,D,01_09_00_00
65,88.76,31.57,126.38,DamAgr_f_tot,2,multihaz_agr,D,06_07_00_00
66,88.49,31.57,125.55,DamAgr_f_tot,2,multihaz_agr,D,06_00_00_00
67,88.11,31.57,126.07,DamAgr_f_tot,2,multihaz_agr,D,06_10_00_00
68,88.56,31.57,125.68,DamAgr_f_tot,2,multihaz_agr,D,06_04_00_00
69,186.58,105.07,234.89,DamAgr_f_tot,2,multihaz_agr,D,03_02_00_00
70,190.36,105.38,240.28,DamAgr_f_tot,2,multihaz_agr,D,01_05_00_00
71,200.33,111.66,252.0,DamAgr_f_tot,2,multihaz_agr,D,11_01_00_00
72,195.55,108.3,246.18,DamAgr_f_tot,2,multihaz_agr,D,09_05_00_00
73,84.53,32.41,128.39,DamAgr_f_tot,2,multihaz_agr,D,06_01_00_00
74,196.58,110.82,246.39,DamAgr_f_tot,2,multihaz_agr,D,11_09_00_00
75,83.63,31.57,118.82,DamAgr_f_tot,2,multihaz_agr,D,08_09_00_00
76,89.66,31.57,127.68,DamAgr_f_tot,2,multihaz_agr,D,06_09_00_00
77,85.93,31.57,118.43,DamAgr_f_tot,2,multihaz_agr,D,05_04_00_00
78,171.72,93.44,229.05,DamAgr_f_tot,2,multihaz_agr,D,02_06_00_00
79,87.55,32.41,118.43,DamAgr_f_tot,2,multihaz_agr,D,05_03_00_00
80,170.13,93.44,228.74,DamAgr_f_tot,2,multihaz_agr,D,02_04_00_00
81,194.63,107.89,245.58,DamAgr_f_tot,2,multihaz_agr,D,09_00_00_00
