timing,measure_sequence,no_measure,sector_hazard,sectorname,cc_scenario,climvar,portfolio,realization,f_a,d_a,f_u,d_s,stage
38.0,0&14,1,multihaz_urb,f_u,D,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,
48.0,0&14&15,2,multihaz_urb,f_u,D,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,3,multihaz_urb,f_u,D,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,D,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
4.0,0&14,1,multihaz_urb,f_u,D,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,D,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,D,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,D,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
23.0,0&14,1,multihaz_urb,f_u,D,3,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,D,3,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,D,3,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,D,3,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
5.0,0&14,1,multihaz_urb,f_u,D,4,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,D,4,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,D,4,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,D,4,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
59.0,0&14,1,multihaz_urb,f_u,D,5,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,D,5,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,D,5,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,D,5,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
19.0,0&14,1,multihaz_urb,f_u,D,6,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,D,6,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,D,6,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,D,6,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
18.0,0&14,1,multihaz_urb,f_u,D,7,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,D,7,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,D,7,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,D,7,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
5.0,0&14,1,multihaz_urb,f_u,D,8,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,D,8,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,D,8,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,D,8,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
26.0,0&14,1,multihaz_urb,f_u,D,9,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,D,9,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,D,9,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,D,9,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
33.0,0&14,1,multihaz_urb,f_u,D,10,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,D,10,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,D,10,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,D,10,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
38.0,0&14,1,multihaz_urb,f_u,G,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,
48.0,0&14&15,2,multihaz_urb,f_u,G,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,3,multihaz_urb,f_u,G,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,G,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
4.0,0&14,1,multihaz_urb,f_u,G,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,G,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,G,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,G,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
23.0,0&14,1,multihaz_urb,f_u,G,3,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,G,3,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,G,3,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,G,3,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
