decade,grass,corn,potatoes,(sugar) beet,cereals,other,arboriculture,glasshouse horticulture,fruit,bulbs,deciduous forest,coniferous forest,opengrownnaturegeb,bare ground natures
1,0.7,0.8,0.8,0.8,0.8,0.8,0.7,2.5,0.8,0.8,0.5,0.5,0.7,0.8
2,0.7,0.8,0.8,0.8,0.8,0.8,0.7,1.9,0.8,0.8,0.5,0.5,0.7,0.8
3,0.7,0.8,0.8,0.8,0.8,0.8,0.7,2.0,0.8,0.8,0.5,0.5,0.7,0.8
4,0.7,0.8,0.8,0.8,0.8,0.8,0.7,1.8,0.8,0.8,0.5,0.5,0.7,0.8
5,0.7,0.8,0.8,0.8,0.8,0.8,0.7,1.7,0.8,0.8,0.5,0.5,0.7,0.8
6,0.7,0.8,0.7,0.7,0.7,0.7,0.7,1.6,0.8,0.7,0.5,0.5,0.7,0.8
7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,1.5,0.7,0.4,0.5,0.5,0.6,0.7
8,0.7,0.6,0.6,0.6,0.6,0.6,0.7,1.4,0.7,0.5,0.5,0.5,0.6,0.7
9,0.7,0.6,0.6,0.6,0.6,0.6,0.7,1.4,0.7,0.6,0.5,0.5,0.6,0.6
10,0.7,0.4,0.4,0.4,0.4,0.4,0.8,1.4,0.8,0.5,0.5,0.5,0.6,0.6
11,0.7,0.4,0.4,0.4,0.5,0.4,0.8,1.3,0.8,0.5,0.5,0.5,0.6,0.6
12,0.7,0.4,0.4,0.4,0.6,0.4,0.8,1.3,0.8,0.5,0.5,0.5,0.6,0.6
13,0.8,0.4,0.4,0.4,0.7,0.4,0.8,1.2,0.8,0.5,0.5,0.5,0.6,0.7
14,0.8,0.5,0.5,0.4,0.8,0.5,0.8,1.2,0.8,0.5,0.5,0.5,0.6,0.7
15,0.8,0.6,0.6,0.4,0.8,0.6,0.8,1.2,0.9,0.5,0.6,0.6,0.7,0.7
16,0.8,0.7,0.8,0.6,0.9,0.7,0.8,1.1,0.9,0.7,0.7,0.6,0.8,0.9
17,0.8,0.8,0.9,0.8,0.9,0.8,0.8,1.1,0.9,0.8,0.7,0.6,0.8,0.9
18,0.8,0.9,0.9,0.8,0.9,0.9,0.8,1.1,0.9,0.8,0.7,0.6,0.8,0.9
19,0.8,0.9,0.9,0.9,0.8,0.9,0.8,1.0,1.0,0.7,0.65,0.65,0.9,0.9
20,0.8,0.9,0.9,0.9,0.8,0.9,0.8,1.0,1.0,0.7,0.65,0.65,0.9,0.9
21,0.8,0.9,0.9,0.9,0.8,0.9,0.8,1.0,1.0,0.7,0.65,0.65,0.9,0.9
22,0.8,0.9,0.9,0.9,0.6,0.9,0.8,1.0,1.0,0.6,0.65,0.6,0.9,0.9
23,0.8,0.9,0.9,1.0,0.6,0.9,0.8,1.0,1.0,0.6,0.65,0.6,0.9,0.9
24,0.8,0.9,0.9,1.0,0.6,0.9,0.8,1.0,1.0,0.6,0.65,0.6,0.9,0.9
25,0.7,0.9,0.6,0.9,0.6,0.7,0.8,1.1,1.0,0.6,0.5,0.5,0.75,0.75
26,0.7,0.9,0.6,0.9,0.6,0.7,0.8,1.1,1.0,0.6,0.5,0.5,0.75,0.75
27,0.7,0.75,0.6,0.9,0.6,0.7,0.8,1.2,1.0,0.6,0.5,0.5,0.75,0.75
28,0.7,0.6,0.6,0.6,0.6,0.6,0.7,1.3,0.8,0.6,0.5,0.5,0.7,0.7
29,0.7,0.6,0.6,0.6,0.6,0.6,0.7,1.3,0.8,0.6,0.5,0.5,0.7,0.7
30,0.7,0.6,0.6,0.6,0.6,0.6,0.7,1.3,0.7,0.6,0.5,0.5,0.7,0.7
31,0.7,0.6,0.6,0.6,0.6,0.6,0.7,1.3,0.7,0.6,0.5,0.5,0.7,0.7
32,0.7,0.6,0.6,0.6,0.6,0.6,0.7,2.0,0.7,0.6,0.5,0.5,0.7,0.7
33,0.7,0.6,0.6,0.6,0.6,0.6,0.7,2.7,0.7,0.6,0.5,0.5,0.7,0.7
34,0.7,0.6,0.6,0.6,0.6,0.6,0.7,3.5,0.7,0.6,0.5,0.5,0.6,0.6
35,0.7,0.6,0.6,0.6,0.6,0.6,0.7,4.4,0.7,0.6,0.5,0.5,0.6,0.6
36,0.7,0.6,0.6,0.6,0.6,0.6,0.7,4.9,0.7,0.6,0.5,0.5,0.6,0.6
