decade,grass,corn,potatoes,(sugar) beet,cereals,other,arboriculture,glasshouse horticulture,fruit,bulbs,deciduous forest,coniferous forest,opengrownnaturegeb,bare ground natures
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
10,1.0,0.0,0.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.95,0.0,0.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.89,0.0,0.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.83,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.78,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.72,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.67,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0
17,0.62,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0
18,0.56,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.55,1.0,1.0,1.0,1.0
19,0.5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0
20,0.45,0.9,1.0,1.0,0.8,0.6,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
21,0.39,0.8,1.0,1.0,0.6,0.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
22,0.33,0.7,0.9,1.0,0.4,0.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
23,0.28,0.6,0.7,0.8,0.0,0.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
24,0.22,0.5,0.5,0.6,0.0,0.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
25,0.17,0.4,0.3,0.5,0.0,0.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
26,0.12,0.27,0.0,0.4,0.0,0.6,1.0,1.0,0.8,0.0,1.0,1.0,1.0,1.0
27,0.06,0.14,0.0,0.3,0.0,0.6,1.0,1.0,0.6,0.0,1.0,1.0,1.0,1.0
28,0.0,0.0,0.0,0.2,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
29,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
30,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
