no_measure,no_measure,no_measure,no_measure
d_resilient_crops,d_rain_irrigation,d_riv_irrigation,d_gw_irrigation
d_resilient_crops,d_soilm_practice,d_rain_irrigation,d_gw_irrigation
d_rain_irrigation,d_resilient_crops,d_riv_irrigation,d_gw_irrigation
d_rain_irrigation,d_gw_irrigation,d_soilm_practice,d_riv_irrigation
d_gw_irrigation,d_riv_irrigation,d_rain_irrigation,d_resilient_crops
d_gw_irrigation,d_rain_irrigation,d_riv_irrigation,d_soilm_practice
d_riv_irrigation,d_gw_irrigation,d_soilm_practice,d_resilient_crops
d_riv_irrigation,d_resilient_crops,d_gw_irrigation,d_rain_irrigation
d_soilm_practice,d_resilient_crops,d_gw_irrigation,d_riv_irrigation
d_soilm_practice,d_riv_irrigation,d_rain_irrigation,d_gw_irrigation
