no_measure,no_measure,no_measure,no_measure
f_local_protect,f_wet_proofing_houses,f_dike_elevation_s,f_dike_elevation_l
f_local_protect,f_wet_proofing_houses,f_room_for_river,f_dike_elevation_s
f_wet_proofing_houses,f_local_protect,f_dike_elevation_s,f_dike_elevation_l
f_wet_proofing_houses,f_local_protect,f_room_for_river,f_dike_elevation_s
f_dike_elevation_s,f_dike_elevation_l,f_wet_proofing_houses,f_local_protect
f_dike_elevation_s,f_wet_proofing_houses,f_dike_elevation_l,f_local_protect
f_room_for_river,f_dike_elevation_s,f_local_protect,f_wet_proofing_houses
f_room_for_river,f_local_protect,f_dike_elevation_s,f_wet_proofing_houses
f_dike_elevation_l,f_dike_elevation_s,f_wet_proofing_houses,f_local_protect
f_dike_elevation_l,f_local_protect,f_dike_elevation_s,f_wet_proofing_houses
f_maintenance,f_local_protect,f_wet_proofing_houses,f_dike_elevation_s
f_maintenance,f_dike_elevation_s,f_dike_elevation_l,f_wet_proofing_houses
f_wet_proofing_houses,f_maintenance,f_room_for_river,f_dike_elevation_s
f_dike_elevation_l,f_maintenance,f_dike_elevation_s,f_wet_proofing_houses
